ID;type;col;diam;pas gros;pas fin 1;pas fin 2;pas fin 3;pas fin 4;;
0;M;1;1;0.25;0.2;;;;;
1;M;2;1.1;0.25;0.2;;;;;
2;M;1;1.2;0.25;0.2;;;;;
3;M;2;1.4;0.3;0.2;;;;;
4;M;1;1.6;0.35;0.2;;;;;
5;M;2;1.8;0.35;0.2;;;;;
6;M;1;2;0.4;0.25;;;;;
7;M;2;2.2;0.45;0.25;;;;;
8;M;1;2.5;0.45;0.35;;;;;
9;M;1;3;0.5;0.35;;;;;
10;M;2;3.5;0.6;0.35;;;;;
11;M;1;4;0.7;0.5;;;;;
12;M;2;4.5;0.75;0.5;;;;;
13;M;1;5;0.8;0.5;;;;;
14;M;3;5.5;0;0.5;;;;;
15;M;1;6;1;0.75;;;;;
16;M;3;7;1;0.75;;;;;
17;M;1;8;1.25;0.75;1;;;;
18;M;3;9;1.25;0.75;1;;;;
19;M;1;10;1.5;0.75;1;1.25;;;
20;M;3;11;1.5;0.75;1;;;;
21;M;1;12;1.75;1;1.25;1.5;;;
22;M;2;14;2;1;1.25;1.5;;;
23;M;3;15;0;1;1.5;;;;
24;M;1;16;2;1;1.5;;;;
25;M;3;17;0;1;1.5;;;;
26;M;2;18;2.5;1;1.5;2;;;
27;M;1;20;2.5;1;1.5;2;;;
28;M;2;22;2.5;1;1.5;2;;;
29;M;1;24;3;1;1.5;2;;;
30;M;3;25;0;1;1.5;2;;;
31;M;2;27;3;1;1.5;2;;;
32;M;3;28;0;1;1.5;2;;;
33;M;1;30;3.5;1;1.5;2;3;;
34;M;3;32;0;1.5;2;;;;
35;M;2;33;3.5;1.5;2;3;;;
36;M;3;35;0;1.5;;;;;
37;M;1;36;4;1.5;2;3;;;
38;M;2;39;4;1.5;2;3;;;
39;M;3;40;0;1.5;2;3;;;
40;M;1;42;4.5;1.5;2;3;4;;
41;M;2;45;4.5;1.5;2;3;4;;
42;M;1;48;5;1.5;2;3;4;;
43;M;3;50;0;1.5;2;3;;;
44;M;2;52;5;1.5;2;3;4;;
45;M;3;55;0;1.5;2;3;4;;
46;M;1;56;5.5;1.5;2;3;4;;
47;M;3;58;0;1.5;2;3;4;;
48;M;2;60;5.5;1.5;2;3;4;;
49;M;3;62;0;1.5;2;3;4;;
50;M;1;64;6;1.5;2;3;4;;
51;M;3;65;0;1.5;2;3;4;;
52;M;2;68;6;1.5;2;3;4;;
53;M;3;70;6;1.5;2;3;4;;
54;M;1;72;6;1.5;2;3;4;;
55;M;3;75;6;1.5;2;3;4;;
56;M;2;76;6;1.5;2;3;4;;
57;M;1;80;6;2;3;4;;;
58;M;1;85;6;2;3;4;;;
59;M;1;90;6;2;3;4;;;
60;M;1;95;6;2;3;4;;;
61;M;1;100;6;2;3;4;;;
62;M;1;105;6;2;3;4;;;
63;M;1;110;6;2;3;4;;;
64;M;1;115;6;2;3;4;;;
65;M;1;120;6;2;3;4;;;
66;M;1;125;6;2;3;4;;;
67;M;1;130;6;2;3;4;;;
68;M;1;135;6;2;3;4;;;
69;M;1;140;6;2;3;4;;;
70;M;1;145;6;2;3;4;;;
71;M;1;150;6;2;3;4;;;
72;M;1;155;6;2;3;4;;;
73;M;1;160;6;2;3;4;;;
74;M;1;165;6;2;3;4;;;
75;M;1;170;6;2;3;4;;;
76;M;1;175;6;2;3;4;;;
77;M;1;180;6;2;3;4;;;
78;M;1;185;6;2;3;4;;;
79;M;1;190;6;2;3;4;;;
80;M;1;195;6;2;3;4;;;
81;M;1;200;6;2;3;4;;;
